prompt,completion
[Clickbait]: I Should Have Seen This Coming... [Unassuming and Terse]: ,Predictable Outcome.
[Clickbait]: I simulated NATURAL DISASTERS in LEGO... [Unassuming and Terse]: ,LEGO Natural Disaster Simulation
[Clickbait]: I Survived 100 Days as an ELECTRIC EEL in HARDCORE Minecraft! [Unassuming and Terse]: ,100 days as an electric eel in Minecraft Hardcore.
[Clickbait]: I Survived 100 Days as NARUTO in Minecraft [Unassuming and Terse]: ,NARUTO in Minecraft for 100 days
[Clickbait]: I Survived 100 Days as THOR in Minecraft [Unassuming and Terse]: ,Surviving as Thor in Minecraft for 100 days.
[Clickbait]: I Survived 2000 Days in Minecraft Hardcore [Unassuming and Terse]: ,Minecraft Hardcore for 2000 Days
[Clickbait]: I tested 100 LEGO Boats! [Unassuming and Terse]: ,100 LEGO Boats Test
[Clickbait]: I Transformed Minecraft Into An EPIC Underwater Kingdom! | Full Movie [1000+ HOURS] [Unassuming and Terse]: ,Building an underwater kingdom in Minecraft
[Clickbait]: I Tried Secret Service Academy [Unassuming and Terse]: ,Training for the secret service
[Clickbait]: I Tried TEMU Art Supplies..isn’t this just WISH? [Unassuming and Terse]: ,Trying Art Supplies.
[Clickbait]: I tried the world's biggest climbing gym    //   With Alexis Landot [Unassuming and Terse]: ,Trying out a huge climbing gym with Alexis Landot
[Clickbait]: I tried to climb the biggest man-made route in the World [Unassuming and Terse]: ,Biggest man-made route climb attempt
[Clickbait]: I Watched Captain America: Civil War in 0.25x Speed and Here's What I Found [Unassuming and Terse]: ,Watching Captain America: Civil War at a slowed down speed
[Clickbait]: I Went Fishing For TERRIFYING CREATURES in Dredge [Unassuming and Terse]: ,Fishing for monsters in Dredge
[Clickbait]: I'm 20 and Still in High School [Unassuming and Terse]: ,20-year-old attends high school
"[Clickbait]: I'M LOOKING FOR MY FRIENDS, I'M LOOKING FOR YOU | TIKTOK COMPILATION [Unassuming and Terse]: ",Looking for friends | TikTok compilation
[Clickbait]: Idiots In Cars | Bad Driving Fails Compilation [Unassuming and Terse]: ,Car driving fails compilation
[Clickbait]: If Programming Was An Anime [Unassuming and Terse]: ,Programming as an anime
[Clickbait]: If Women Were Honest #shorts [Unassuming and Terse]: ,Honest women #shorts
"[Clickbait]: If You Laugh 2 Times, You Have to Replay the Video [Unassuming and Terse]: ",Funny video
"[Clickbait]: Inside a $25,900,000 Fully OFF GRID Utah Mega Mansion [Unassuming and Terse]: ",Off grid mansion Tour.
[Clickbait]: Inside Debby Ryan &amp; Josh Dun's Fascinating Ohio Home | Open Door | Architectural Digest [Unassuming and Terse]: ,Ohio Home Tour | Open Door | Architectural Digest
[Clickbait]: Intense Close Range Intercept of Violent Wedge Tornado - Iowa High Risk Tornado Outbreak - 3/31/23 [Unassuming and Terse]: ,Close Tornado Intercept in Iowa - 3/31/23
[Clickbait]: Iowa Hawkeyes vs. South Carolina Gamecocks | NCAA Women's Final Four | Full Game Highlights [Unassuming and Terse]: ,Iowa Hawkeyes vs. South Carolina Gamecocks | NCAA Women's Final Four | Full Game Highlights
[Clickbait]: Iowa vs. South Carolina - Final Four NCAA tournament extended highlights [Unassuming and Terse]: ,Iowa vs. South Carolina - Final Four NCAA tournament extended highlights
[Clickbait]: Is Netflix Just Making Bad Movies On Purpose [Unassuming and Terse]: ,Netflix's Movie Strategy is Uninspiring
[Clickbait]: JHOOTA NO. 1 | Lie Detector | Family Comedy Challenge | Aayu and Pihu Show [Unassuming and Terse]: ,Joohta No. 1| Lie detector | Family comedy challenge
[Clickbait]: John Wick 4: Dangerous Cleanup [Unassuming and Terse]: ,John Wick 4: Dangerous Cleanup
[Clickbait]: Jordan Schlansky’s Origin Story | Team Coco Radio [Unassuming and Terse]: ,Jordan Schlansky's Origin Story | Team Coco Radio
[Clickbait]: JVKE - this is what losing someone feels like (official video) [Unassuming and Terse]: ,JVKE - this is what losing someone feels like (official video)
[Clickbait]: Kabhi Jo Badal Barse - Arijit Singh Live IIT Delhi RDV 2014 [Unassuming and Terse]: ,Kabhi Jo Badal Barse - Arijit Singh Live IIT Delhi RDV 2014
[Clickbait]: King Wolf 😱😱😱 [Unassuming and Terse]: ,Wolf leader
[Clickbait]: Knife and Judo Experts Breaks Down John Wick's Fighting Skills  | Scenic Fights [Unassuming and Terse]: ,Analyzing John Wick's fighting techniques with knife and judo specialists | Scenic Fights
[Clickbait]: Laïm - Shot After Shot (Electro Swing) [Unassuming and Terse]: ,Laïm - Shot After Shot (Electro Swing)
"[Clickbait]: LAKERS at TIMBERWOLVES | FULL GAME HIGHLIGHTS | March 31, 2023 [Unassuming and Terse]: ","Lakers vs Timberwolves | Game highlights | March 31, 2023"
[Clickbait]: Legendary answer FLOORS Steve Harvey! [Unassuming and Terse]: ,An answer that Steve Harvey thinks is funny
[Clickbait]: Light Up The Dark Ages! (Clash of Clans Season Challenges) [Unassuming and Terse]: ,Light up the dark ages (Clash of Clans season challenges)
[Clickbait]: Limited Life: Episode 5 - BREAD BRIDGE BAKERY [Unassuming and Terse]: ,Limited life: episode 5 - Bready bridge bakery
[Clickbait]: lofi hip hop radio - beats to sleep/chill to [Unassuming and Terse]: ,Lofi hip hop music for relaxation
[Clickbait]: Making a BULLETPROOF John Wick Suit in Real Life! [Unassuming and Terse]: ,Making a bulletproof John Wick suit
[Clickbait]: Manchester City v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 4/1/2023 | NBC Sports [Unassuming and Terse]: ,Manchester City vs. Liverpool | Highlights
[Clickbait]: memes from internet [Unassuming and Terse]: ,random memes from internet
[Clickbait]: Metallica: 72 Seasons (Official Music Video) [Unassuming and Terse]: ,Metallica: 72 Seasons (Official Music Video)
[Clickbait]: Mike Tyson - All Knockouts of the Legend [Unassuming and Terse]: ,All Mike Tyson knockouts
[Clickbait]: Minecraft But Everything I Touch Turns To... [Unassuming and Terse]: ,Minecraft with touch based mod
[Clickbait]: Minecraft but What's this Wither?! [Unassuming and Terse]: ,Minecraft with wither
[Clickbait]: Minecraft Hostage Simulator [Unassuming and Terse]: ,Minecraft hostage simulator
"[Clickbait]: Minecraft, But You Only Get One Block! [Unassuming and Terse]: ",One block challenge in Minecraft
[Clickbait]: Minecraft: MORE TNT MOD (35+ TNT EXPLOSIVES AND DYNAMITE!) - Mod Showcase [Unassuming and Terse]: ,Minecraft TNT mod showcase
[Clickbait]: MLB 23 Road to the Show - Part 6 - POWER SWINGS ONLY! [Unassuming and Terse]: ,MLB 23 road to the show - Part 6
[Clickbait]: MMA fighter &amp; Gymnast try Climbing [Unassuming and Terse]: ,MMA fighter &amp; gymnast try climbing
[Clickbait]: Moments of Instant Regret Caught On Camera [Unassuming and Terse]: ,Mistakes made on camera
[Clickbait]: MOVING IN &amp; Opening a Cafe | The Next Chapter [Unassuming and Terse]: ,Moving and Starting a Cafe.
[Clickbait]: Music for Work — Chillstep Cyber City Radio [Unassuming and Terse]: ,Chill Music for Work
[Clickbait]: Must We Forgive Those Who Have Wronged Us? [Unassuming and Terse]: ,Should we forgive others?
[Clickbait]: NBA Records That’ll NEVER Be Broken.. [Unassuming and Terse]: ,Finalized NBA Records
[Clickbait]: New Parent Stereotypes [Unassuming and Terse]: ,New parent stereotypes
[Clickbait]: NOBODY Wants Buy This ABANDONED $10.5 MILLION Mansion - Luxury Cars Inside!!! [Unassuming and Terse]: ,Abandoned Mansion Tour
[Clickbait]: Noob PAY TO WINS to Pro in BLOX FRUITS.. (a Roblox Story) [Unassuming and Terse]: ,Becoming an expert in Blox Fruits by buying in game items (A Roblox story)
[Clickbait]: Not everything is true❤🔥 |  inspirational quotes | motivational quotes #shorts #motivational #short [Unassuming and Terse]: ,Not everything is true | #shorts
[Clickbait]: Omegle... But I ROAST Racist People [Unassuming and Terse]: ,Insulting racist people on Omegle
[Clickbait]: Only The Best From The Best | Legendary Openings Speedrun 1 [Unassuming and Terse]: ,Legendary Openings Speedrun 1
[Clickbait]: OpenAI GPT-4 - See How Everyone Is Using It! [Unassuming and Terse]: ,OpenAI GPT-4 usage examples
"[Clickbait]: Overtime: Gov. Chris Sununu, Lt. Gov. Winsome Earle-Sears, James Kirchick | Real Time (HBO) [Unassuming and Terse]: ","Overtime: Gov. Chris Sununu, Lt. Gov. Winsome Earle-Sears, James Kirchick | Real Time (HBO)"
[Clickbait]: Packgod vs Emo Egirl [Unassuming and Terse]: ,Packgod vs Emo Egirl
[Clickbait]: parents aren’t home… you know what that means [Unassuming and Terse]: ,Empty house situation
[Clickbait]: Pawn Stars: 7 INSANELY HIGH APPRAISALS (Huge Profits For Rare Items!) [Unassuming and Terse]: ,High appraisals on Pawn Stars
[Clickbait]: Personal and Channel Update [Unassuming and Terse]: ,Personal and Channel Update
[Clickbait]: PIHU KA RESULT | 10th Board Result | Pass / Fail | A Short Movie | Aayu and Pihu Show [Unassuming and Terse]: ,Pihu ka result | 10th Bbard result | Pass / Fail | A short movie | Aayu and Pihu Show
[Clickbait]: Pixar's Up is ENDING With This Final Short [Unassuming and Terse]: ,Pixar's Up: Final short
[Clickbait]: Playing The WORST Horror Game I've EVER Played [Hatch] [Unassuming and Terse]: ,Bad horror game playthrough
[Clickbait]: Powerlifter  VS  Rock Climber  -  Who has stronger grip? [Unassuming and Terse]: ,Grip Strength Comparison: Powerlifter vs Rock Climber
[Clickbait]: Probability Comparison: Rarest Human Mutations [Unassuming and Terse]: ,Probability comparison: rarest human mutations
[Clickbait]: PSVR2 Launch Sales Are Reportedly Going Very Poorly... [Unassuming and Terse]: ,Poor sales for PSVR2 launch
[Clickbait]: Rarest Things On Earth! [Unassuming and Terse]: ,Rare items in nature
[Clickbait]: Rating Fast Food French Fries [Unassuming and Terse]: ,Rating Fast Food French Fries
[Clickbait]: Relaxing Disney ost Piano collection 10Hour (No middle ad) [Unassuming and Terse]: ,Disney piano music (10 Hour)
"[Clickbait]: Relaxing Music &amp; Rain Sounds - Beautiful Piano Music, Background Music, Sleep Music • You &amp; Me [Unassuming and Terse]: ",Background piano and rain sounds for sleep and relaxation
[Clickbait]: Rep. Maxine Waters reacts to Trump indictment [Unassuming and Terse]: ,Rep. Maxine Waters talks about Trump indictment
[Clickbait]: Respect 😱🔥Wow 😯 [Unassuming and Terse]: ,Respect
[Clickbait]: Returning to my old gym after 12 years!! [Unassuming and Terse]: ,Going back to exercise at the place I used to go to a decade ago
[Clickbait]: Revealing: The Vote Update [Unassuming and Terse]: ,Vote Update
[Clickbait]: Ridiculous Drivers - Crashes &amp; Wrecks Compilation | FailArmy [Unassuming and Terse]: ,Crashes caught on camera.
[Clickbait]: SampleSort: QuickSort on Steroids! [Unassuming and Terse]: ,SampleSort tutoriah
[Clickbait]: Satisfying Videos of Workers Doing Their Job Perfectly [Unassuming and Terse]: ,Videos of workers excelling at their duties
[Clickbait]: Scotty Doesn’t Know [Unassuming and Terse]: ,Scotty doesn’t know
[Clickbait]: SIGMA WEDNESDAY ANIMATION #wednesday  #animation  #sigma [Unassuming and Terse]: ,Sigma wednesday animation
[Clickbait]: SMG4: A Happy Little Road Trip [Unassuming and Terse]: ,SMG4: A Happy Little Road Trip
[Clickbait]: SNEAKING In OVERNIGHT CANDY SHOP 24 HOUR Challenge! [Unassuming and Terse]: ,Secretly staying in a Candy Store overnight
[Clickbait]: So I FINALLY Tried Far Cry Primal [Unassuming and Terse]: ,Trying Far Cry Primal
[Clickbait]: Soldiers Coming Home Surprise | Most Emotional Compilations [Unassuming and Terse]: ,Soldiers Returning Home Compilation
[Clickbait]: Spending 24 Hours Straight Under Water Challenge [Unassuming and Terse]: ,Spending 24 hours straight under water challenge
"[Clickbait]: Spider-Man VR takes the ""cake"" 👀🎂 #vr #virtualreality #gaming #spiderman [Unassuming and Terse]: ",Virtual Reality Spider-Man Gaming Video
[Clickbait]: Spray Can Melting - Perfect Bar Trash To Treasure - ASMR Metal Melting - Nordic Gold - BigStackD [Unassuming and Terse]: ,Spray Can Melting
[Clickbait]: Stax SR-X9000 Electrostatic Headphone Review [Unassuming and Terse]: ,Electrostatic headphone review - Stax SR-X9000
"[Clickbait]: STEPH CURRY FINDS A DEADSPOT ON COURT BEFORE TIMBERWOLVES GAME 😱| GSW vs MIN | March 26, 2023 [Unassuming and Terse]: ","GSW vs MIN | March 26, 2023"
"[Clickbait]: Stormtroopers, but They're ACCURATE [Unassuming and Terse]: ",If Stormtroopers were accurate
[Clickbait]: Stray Cat Decides To Work At A Car Shop And Greet Every Customer | The Dodo [Unassuming and Terse]: ,Cat hangs out at car shop
[Clickbait]: Stray's LOVE LIFE - Adrift but never lost.. Fortnite Movie [Unassuming and Terse]: ,Fortnite Movie: Stray's LOVE LIFE - Adrift but never lost.
[Clickbait]: Superstars PRANK The Voice coaches with unexpected Blind Auditions [Unassuming and Terse]: ,Unexpected Blind Auditions on The Voice
[Clickbait]: Surprise d4 players with this gambit [Unassuming and Terse]: ,Gambit against d4
[Clickbait]: Surviving a -36° Night - No Tent &amp; No Sleeping Bag [Unassuming and Terse]: ,Camping in extreme cold without proper equipment
[Clickbait]: Teacher: Padma Gurung and Mina Rana - Grade: Lower Kindergarten. [Unassuming and Terse]: ,Teacher: Padma Gurung and Mina Rana - Grade: Lower Kindergarten.
[Clickbait]: teaching Ludwig how to climb V9 [Unassuming and Terse]: ,Climbing Tutorial for Ludwig's V9 Ascent
[Clickbait]: Testing VIRAL Basketball Gadgets! - 2HYPE [Unassuming and Terse]: ,Basketball gadgets test
[Clickbait]: The BEST Chess Opening Against 1.e4 - Every Move is a Trap! [Unassuming and Terse]: ,Chess opening against 1.e4.
[Clickbait]: The Children of Húrin 101 | Of The Children of Húrin: Tolkien's First Age Explained - Part 1 of 13 [Unassuming and Terse]: ,Of the Children of Húrin: Tolkien's first age explained - part 1 of 13
